Country,Criteria,Coverage,Year,Migrants_out,Migrants_in,Continent,Population
Australia,Residence,Both,1980,90860.0,184290.0,Australia,14692000.0
Denmark,Residence,Both,1980,29913.0,30311.0,Europe,5123027.0
Finland,Residence,Both,1980,14824.0,13626.0,Europe,4779535.0
Germany,Residence,Both,1980,439571.0,753436.0,Europe,78288576.0
Norway,Residence,Both,1980,14705.0,18776.0,Europe,4085620.0
Sweden,Residence,Both,1980,31066.0,39426.0,Europe,8310531.0
Australia,Residence,Both,1981,85600.0,212690.0,Australia,14927000.0
Denmark,Residence,Both,1981,29719.0,27874.0,Europe,5121572.0
Finland,Residence,Both,1981,10034.0,15771.0,Europe,4799964.0
Germany,Residence,Both,1981,470525.0,625053.0,Europe,78407907.0
Norway,Residence,Both,1981,14522.0,19698.0,Europe,4099702.0
Sweden,Residence,Both,1981,29440.0,32272.0,Europe,8320503.0
Australia,Residence,Both,1982,92340.0,195200.0,Australia,15178000.0
Denmark,Residence,Both,1982,28328.0,28223.0,Europe,5117810.0
Finland,Residence,Both,1982,7402.0,14661.0,Europe,4826933.0
Germany,Residence,Both,1982,493495.0,420754.0,Europe,78333366.0
Norway,Residence,Both,1982,14728.0,20468.0,Europe,4114787.0
Sweden,Residence,Both,1982,28381.0,30381.0,Europe,8325263.0
Australia,Residence,Both,1983,100510.0,153570.0,Australia,15369000.0
Denmark,Residence,Both,1983,25999.0,27718.0,Europe,5114297.0
Finland,Residence,Both,1983,6817.0,13629.0,Europe,4855787.0
Germany,Residence,Both,1983,487268.0,372027.0,Europe,78128282.0
Norway,Residence,Both,1983,15778.0,20063.0,Europe,4128432.0
Sweden,Residence,Both,1983,25269.0,27495.0,Europe,8329033.0
Australia,Residence,Both,1984,96360.0,153530.0,Australia,15544000.0
Denmark,Residence,Both,1984,25053.0,29035.0,Europe,5111619.0
Finland,Residence,Both,1984,7467.0,11686.0,Europe,4881803.0
Germany,Residence,Both,1984,604832.0,457093.0,Europe,77858685.0
Norway,Residence,Both,1984,15927.0,19688.0,Europe,4140099.0
Sweden,Residence,Both,1984,22825.0,31486.0,Europe,8336605.0
Australia,Residence,Both,1985,93440.0,172550.0,Australia,15758000.0
Denmark,Residence,Both,1985,26715.0,36214.0,Europe,5113691.0
Finland,Residence,Both,1985,7737.0,10465.0,Europe,4902206.0
Germany,Residence,Both,1985,425313.0,512108.0,Europe,77684873.0
Norway,Residence,Both,1985,15630.0,21858.0,Europe,4152516.0
Sweden,Residence,Both,1985,22036.0,33127.0,Europe,8350386.0
Australia,Residence,Both,1986,92450.0,196690.0,Australia,16018400.0
Denmark,Residence,Both,1986,27928.0,38932.0,Europe,5120534.0
Finland,Residence,Both,1986,8269.0,9927.0,Europe,4918154.0
Germany,Residence,Both,1986,407139.0,598479.0,Europe,77720436.0
Iceland,Residence,Both,1986,2964.0,2703.0,Europe,243180.0
Italy,Residence,Both,1986,49775.0,75725.0,Europe,56596155.0
Norway,Residence,Both,1986,16745.0,24196.0,Europe,4167354.0
Sweden,Residence,Both,1986,24495.0,39487.0,Europe,8369829.0
Australia,Residence,Both,1987,97770.0,221620.0,Australia,16263900.0
Denmark,Residence,Both,1987,30123.0,36296.0,Europe,5127024.0
Finland,Residence,Both,1987,8475.0,9142.0,Europe,4932123.0
Germany,Residence,Both,1987,400816.0,614603.0,Europe,77839920.0
Iceland,Residence,Both,1987,2408.0,3616.0,Europe,245859.0
Ireland,Residence,Both,1987,40200.0,17000.0,Europe,3540057.0
Italy,Residence,Both,1987,43669.0,104459.0,Europe,56601931.0
Norway,Residence,Both,1987,17380.0,31149.0,Europe,4186905.0
Sweden,Residence,Both,1987,20673.0,42666.0,Europe,8397804.0
Australia,Residence,Both,1988,104770.0,253860.0,Australia,16532200.0
Denmark,Residence,Both,1988,34544.0,35051.0,Europe,5129516.0
Finland,Residence,Both,1988,8447.0,9720.0,Europe,4946481.0
Germany,Residence,Both,1988,421947.0,903892.0,Europe,78144619.0
Iceland,Residence,Both,1988,2685.0,4151.0,Europe,249740.0
Ireland,Residence,Both,1988,61100.0,19000.0,Europe,3524949.0
Italy,Residence,Both,1988,41861.0,85791.0,Europe,56629288.0
Norway,Residence,Both,1988,19821.0,29964.0,Europe,4209488.0
Sweden,Residence,Both,1988,21461.0,51092.0,Europe,8436489.0
Australia,Residence,Both,1989,120040.0,238050.0,Australia,16814400.0
Denmark,Residence,Both,1989,34949.0,38391.0,Europe,5132594.0
Finland,Residence,Both,1989,7374.0,11219.0,Europe,4964371.0
Germany,Residence,Both,1989,544967.0,1522190.0,Europe,78751283.0
Iceland,Residence,Both,1989,3841.0,2755.0,Europe,252852.0
Ireland,Residence,Both,1989,70500.0,27000.0,Europe,3511009.0
Italy,Residence,Both,1989,65647.0,81201.0,Europe,56671781.0
Norway,Residence,Both,1989,27300.0,25847.0,Europe,4226901.0
Sweden,Residence,Both,1989,21484.0,65866.0,Europe,8492964.0
Australia,Residence,Both,1990,137470.0,234050.0,Australia,17065100.0
Denmark,Residence,Both,1990,32383.0,40715.0,Europe,5140939.0
Finland,Residence,Both,1990,6477.0,13558.0,Europe,4986431.0
Germany,Residence,Both,1990,610595.0,1651593.0,Europe,79433029.0
Iceland,Residence,Both,1990,3847.0,3166.0,Europe,254826.0
Ireland,Residence,Both,1990,56200.0,33000.0,Europe,3513974.0
Italy,Residence,Both,1990,55989.0,166754.0,Europe,56719240.0
Kyrgyz Republic,Residence,Both,1990,82852.0,40939.0,Asia,4391200.0
Norway,Residence,Both,1990,23784.0,25494.0,Europe,4241473.0
Romania,Residence,Both,1990,96929.0,,Europe,23201835.0
Sweden,Residence,Both,1990,25196.0,60048.0,Europe,8558835.0
Australia,Residence,Both,1991,143710.0,237240.0,Australia,17284000.0
Denmark,Residence,Both,1991,32629.0,43567.0,Europe,5154298.0
Finland,Residence,Both,1991,5984.0,19001.0,Europe,5013740.0
Germany,Residence,Both,1991,582240.0,1198978.0,Europe,80013896.0
Iceland,Residence,Both,1991,2982.0,3989.0,Europe,257797.0
Ireland,Residence,Both,1991,35300.0,33000.0,Europe,3534235.0
Italy,Residence,Both,1991,57730.0,126935.0,Europe,56758521.0
Kyrgyz Republic,Residence,Both,1991,71315.0,37558.0,Asia,4463600.0
Norway,Residence,Both,1991,18238.0,26283.0,Europe,4261732.0
Romania,Residence,Both,1991,44160.0,,Europe,23001155.0
Russian Federation,Residence,Both,1991,675497.0,692238.0,Europe,148624000.0
Sweden,Residence,Both,1991,24745.0,49731.0,Europe,8617375.0
Australia,Residence,Both,1992,143660.0,220460.0,Australia,17495000.0
Croatia,Residence,Both,1992,8859.0,48324.0,Europe,4470000.0
Denmark,Residence,Both,1992,31915.0,43377.0,Europe,5171370.0
Finland,Residence,Both,1992,6055.0,14554.0,Europe,5041992.0
Germany,Residence,Both,1992,701424.0,1502198.0,Europe,80624598.0
Iceland,Residence,Both,1992,3213.0,2959.0,Europe,261057.0
Ireland,Residence,Both,1992,33400.0,41000.0,Europe,3558430.0
Italy,Residence,Both,1992,56987.0,113916.0,Europe,56797087.0
Kyrgyz Republic,Residence,Both,1992,103728.0,26275.0,Asia,4515400.0
Norway,Residence,Both,1992,16801.0,26743.0,Europe,4286401.0
Romania,Residence,Both,1992,31152.0,,Europe,22794284.0
Russian Federation,Residence,Both,1992,673143.0,926020.0,Europe,148689000.0
Sweden,Residence,Both,1992,25726.0,45348.0,Europe,8668067.0
Australia,Residence,Both,1993,140420.0,197940.0,Australia,17667000.0
Croatia,Residence,Both,1993,9169.0,57702.0,Europe,4640000.0
Czech Republic,Residence,Both,1993,7416.0,,Europe,10329855.0
Denmark,Residence,Both,1993,32344.0,43400.0,Europe,5188628.0
Finland,Residence,Both,1993,6405.0,14795.0,Europe,5066447.0
Germany,Residence,Both,1993,796859.0,1277408.0,Europe,81156363.0
Iceland,Residence,Both,1993,2901.0,2698.0,Europe,263725.0
Ireland,Residence,Both,1993,35100.0,35000.0,Europe,3576261.0
Italy,Residence,Both,1993,61282.0,100401.0,Europe,56831821.0
Kyrgyz Republic,Residence,Both,1993,143619.0,23015.0,Asia,4516700.0
Norway,Residence,Both,1993,18903.0,31711.0,Europe,4311991.0
Romania,Residence,Both,1993,18446.0,,Europe,22763280.0
Russian Federation,Residence,Both,1993,483028.0,923280.0,Europe,148520000.0
Slovak Republic,Residence,Both,1993,7355.0,9109.0,Europe,5325305.0
Sweden,Residence,Both,1993,29874.0,61872.0,Europe,8718561.0
Australia,Residence,Both,1994,141680.0,221920.0,Australia,17855000.0
Croatia,Residence,Both,1994,10163.0,33426.0,Europe,4650000.0
Czech Republic,Residence,Both,1994,264.0,10207.0,Europe,10333587.0
Denmark,Residence,Both,1994,34710.0,44961.0,Europe,5206180.0
Finland,Residence,Both,1994,8672.0,11611.0,Europe,5088333.0
Germany,Residence,Both,1994,740525.0,,Europe,81438348.0
Iceland,Residence,Both,1994,3436.0,2676.0,Europe,266021.0
Ireland,Residence,Both,1994,34800.0,30000.0,Europe,3590386.0
Italy,Residence,Both,1994,65548.0,99105.0,Europe,56843400.0
Kyrgyz Republic,Residence,Both,1994,71197.0,20104.0,Asia,4515100.0
Norway,Residence,Both,1994,19475.0,26911.0,Europe,4336613.0
Romania,Residence,Both,1994,17146.0,878.0,Europe,22730211.0
Russian Federation,Residence,Both,1994,337121.0,1146735.0,Europe,148336000.0
Slovak Republic,Residence,Both,1994,154.0,4923.0,Europe,5346331.0
Sweden,Residence,Both,1994,32661.0,83598.0,Europe,8780745.0
Australia,Residence,Both,1995,149360.0,253940.0,Australia,18072000.0
Azerbaijan,Residence,Both,1995,16033.0,6222.0,Asia,7685000.0
Croatia,Residence,Both,1995,15413.0,42026.0,Europe,4669000.0
Czech Republic,Residence,Both,1995,540.0,10540.0,Europe,10327253.0
Denmark,Residence,Both,1995,34630.0,63187.0,Europe,5233373.0
Finland,Residence,Both,1995,8957.0,12222.0,Europe,5107790.0
Germany,Residence,Both,1995,698113.0,1096048.0,Europe,81678051.0
Iceland,Residence,Both,1995,4285.0,2867.0,Europe,267468.0
Ireland,Residence,Both,1995,33200.0,38000.0,Europe,3608841.0
Italy,Residence,Both,1995,43303.0,96710.0,Europe,56844303.0
Kyrgyz Republic,Residence,Both,1995,37302.0,18368.0,Asia,4560400.0
Latvia,Residence,Both,1995,16512.0,2799.0,Europe,2485056.0
Norway,Residence,Both,1995,19312.0,25678.0,Europe,4359184.0
Romania,Residence,Both,1995,25675.0,4458.0,Europe,22684270.0
Russian Federation,Residence,Both,1995,339600.0,842050.0,Europe,148375726.0
Slovak Republic,Residence,Both,1995,213.0,3055.0,Europe,5361999.0
Sweden,Residence,Both,1995,33984.0,45887.0,Europe,8826939.0
Australia,Residence,Both,1996,158260.0,261330.0,Australia,18311000.0
Azerbaijan,Residence,Both,1996,13151.0,5781.0,Asia,7763000.0
Croatia,Residence,Both,1996,10027.0,44596.0,Europe,4494000.0
Czech Republic,Residence,Both,1996,728.0,10857.0,Europe,10315241.0
Denmark,Residence,Both,1996,37312.0,54445.0,Europe,5263074.0
Finland,Residence,Both,1996,10587.0,13294.0,Europe,5124573.0
Germany,Residence,Both,1996,677494.0,959691.0,Europe,81914831.0
Iceland,Residence,Both,1996,4108.0,3664.0,Europe,268916.0
Ireland,Residence,Both,1996,31200.0,39000.0,Europe,3637510.0
Italy,Residence,Both,1996,47510.0,171967.0,Europe,56860281.0
Kyrgyz Republic,Residence,Both,1996,27584.0,15910.0,Asia,4628400.0
Latvia,Residence,Both,1996,12828.0,2747.0,Europe,2457222.0
Norway,Residence,Both,1996,20590.0,26407.0,Europe,4381336.0
Romania,Residence,Both,1996,21526.0,2053.0,Europe,22619004.0
Russian Federation,Residence,Both,1996,288048.0,631592.0,Europe,148160042.0
Slovak Republic,Residence,Both,1996,222.0,2477.0,Europe,5373361.0
Sweden,Residence,Both,1996,33884.0,39895.0,Europe,8840998.0
Australia,Residence,Both,1997,176560.0,260220.0,Australia,18517000.0
Azerbaijan,Residence,Both,1997,15703.0,7528.0,Asia,7838250.0
Croatia,Residence,Both,1997,18531.0,52343.0,Europe,4572000.0
Czech Republic,Residence,Both,1997,804.0,12880.0,Europe,10304131.0
Denmark,Residence,Both,1997,38393.0,50105.0,Europe,5284991.0
Finland,Residence,Both,1997,9854.0,13564.0,Europe,5139835.0
Germany,Residence,Both,1997,746969.0,840633.0,Europe,82034771.0
Iceland,Residence,Both,1997,3921.0,3990.0,Europe,271128.0
Ireland,Residence,Both,1997,25400.0,45625.0,Europe,3674171.0
Italy,Residence,Both,1997,46273.0,162857.0,Europe,56890372.0
Kyrgyz Republic,Residence,Both,1997,19538.0,12799.0,Asia,4696400.0
Latvia,Residence,Both,1997,12333.0,2913.0,Europe,2432851.0
Norway,Residence,Both,1997,21257.0,31957.0,Europe,4405157.0
Romania,Residence,Both,1997,19945.0,6600.0,Europe,22553978.0
Russian Federation,Residence,Both,1997,232987.0,597651.0,Europe,147915307.0
Slovak Republic,Residence,Both,1997,572.0,2303.0,Europe,5383291.0
Sweden,Residence,Both,1997,38543.0,44818.0,Europe,8846062.0
Australia,Residence,Both,1998,179600.0,268390.0,Australia,18711000.0
Austria,Residence,Both,1998,64272.0,72723.0,Europe,7976789.0
Azerbaijan,Residence,Both,1998,10498.0,5404.0,Asia,7913000.0
