Country,Criteria,Type,Coverage,Year,Migrants
Australia,Residence,Emigrants,Both,1980,90860
Australia,Residence,Immigrants,Both,1980,184290
Belgium,Residence,Immigrants,Both,1980,54694
Denmark,Residence,Emigrants,Both,1980,29913
Denmark,Residence,Immigrants,Both,1980,30311
Finland,Residence,Emigrants,Both,1980,14824
Finland,Residence,Immigrants,Both,1980,13626
Germany,Residence,Emigrants,Both,1980,439571
Germany,Residence,Immigrants,Both,1980,753436
Iceland,Residence,Immigrants,Both,1980,1796
Luxembourg,Residence,Immigrants,Both,1980,5080
Netherlands,Residence,Immigrants,Both,1980,112504
Norway,Residence,Emigrants,Both,1980,14705
Norway,Residence,Immigrants,Both,1980,18776
Spain,Residence,Immigrants,Both,1980,20859
Sweden,Residence,Emigrants,Both,1980,31066
Sweden,Residence,Immigrants,Both,1980,39426
United Kingdom,Residence,Immigrants,Both,1980,173000
Australia,Residence,Emigrants,Both,1981,85600
Australia,Residence,Immigrants,Both,1981,212690
Belgium,Residence,Immigrants,Both,1981,49298
Denmark,Residence,Emigrants,Both,1981,29719
Denmark,Residence,Immigrants,Both,1981,27874
Finland,Residence,Emigrants,Both,1981,10034
Finland,Residence,Immigrants,Both,1981,15771
Germany,Residence,Emigrants,Both,1981,470525
Germany,Residence,Immigrants,Both,1981,625053
Iceland,Residence,Immigrants,Both,1981,2161
Italy,Residence,Immigrants,Both,1981,91495
Luxembourg,Residence,Immigrants,Both,1981,5336
Netherlands,Residence,Immigrants,Both,1981,80183
Norway,Residence,Emigrants,Both,1981,14522
Norway,Residence,Immigrants,Both,1981,19698
Spain,Residence,Immigrants,Both,1981,9401
Sweden,Residence,Emigrants,Both,1981,29440
Sweden,Residence,Immigrants,Both,1981,32272
United Kingdom,Residence,Immigrants,Both,1981,153000
Australia,Residence,Emigrants,Both,1982,92340
Australia,Residence,Immigrants,Both,1982,195200
Belgium,Residence,Immigrants,Both,1982,44659
Denmark,Residence,Emigrants,Both,1982,28328
Denmark,Residence,Immigrants,Both,1982,28223
Finland,Residence,Emigrants,Both,1982,7402
Finland,Residence,Immigrants,Both,1982,14661
Germany,Residence,Emigrants,Both,1982,493495
Germany,Residence,Immigrants,Both,1982,420754
Iceland,Residence,Immigrants,Both,1982,2293
Italy,Residence,Immigrants,Both,1982,100100
Luxembourg,Residence,Immigrants,Both,1982,5367
Netherlands,Residence,Immigrants,Both,1982,70740
Norway,Residence,Emigrants,Both,1982,14728
Norway,Residence,Immigrants,Both,1982,20468
Spain,Residence,Immigrants,Both,1982,15969
Sweden,Residence,Emigrants,Both,1982,28381
Sweden,Residence,Immigrants,Both,1982,30381
United Kingdom,Residence,Immigrants,Both,1982,201000
Australia,Residence,Emigrants,Both,1983,100510
Australia,Residence,Immigrants,Both,1983,153570
Belgium,Residence,Immigrants,Both,1983,43657
Denmark,Residence,Emigrants,Both,1983,25999
Denmark,Residence,Immigrants,Both,1983,27718
Finland,Residence,Emigrants,Both,1983,6817
Finland,Residence,Immigrants,Both,1983,13629
