Country,Type,Coverage,OdName,Year,Migrants,Flow
Germany,Immigrants,Both,Turkey,1980,213126,Turkey - Germany
Germany,Immigrants,Both,Italy,1980,88865,Italy - Germany
Germany,Immigrants,Both,Poland,1980,67940,Poland - Germany
United States,Immigrants,Foreigners,Mexico,1980,56680,Mexico - United States
Australia,Immigrants,Both,United Kingdom,1980,43540,United Kingdom - Australia
United States,Immigrants,Foreigners,Vietnam,1980,43483,Vietnam - United States
United States,Immigrants,Foreigners,Philippines,1980,42316,Philippines - United States
Australia,Immigrants,Both,New Zealand,1980,34370,New Zealand - Australia
United States,Immigrants,Foreigners,"Korea, Rep.",1980,32320,"Korea, Rep. - United States"
Germany,Immigrants,Both,Austria,1980,27849,Austria - Germany
Germany,Immigrants,Both,Poland,1981,135278,Poland - Germany
United States,Immigrants,Foreigners,Mexico,1981,101268,Mexico - United States
Germany,Immigrants,Both,Turkey,1981,84711,Turkey - Germany
Germany,Immigrants,Both,Italy,1981,67567,Italy - Germany
Australia,Immigrants,Both,United Kingdom,1981,57050,United Kingdom - Australia
United States,Immigrants,Foreigners,Vietnam,1981,55631,Vietnam - United States
United States,Immigrants,Foreigners,Philippines,1981,43772,Philippines - United States
Italy,Immigrants,Both,Switzerland,1981,37174,Switzerland - Italy
Australia,Immigrants,Both,New Zealand,1981,34440,New Zealand - Australia
United States,Immigrants,Foreigners,"Korea, Rep.",1981,32663,"Korea, Rep. - United States"
United States,Immigrants,Foreigners,Vietnam,1982,72553,Vietnam - United States
Germany,Immigrants,Both,Poland,1982,58786,Poland - Germany
United States,Immigrants,Foreigners,Mexico,1982,56106,Mexico - United States
Australia,Immigrants,Both,United Kingdom,1982,51730,United Kingdom - Australia
United States,Immigrants,Foreigners,Philippines,1982,45102,Philippines - United States
Germany,Immigrants,Both,Italy,1982,43834,Italy - Germany
Germany,Immigrants,Both,Turkey,1982,43140,Turkey - Germany
United States,Immigrants,Foreigners,Lao PDR,1982,36528,Lao PDR - United States
United States,Immigrants,Foreigners,"Korea, Rep.",1982,31724,"Korea, Rep. - United States"
United States,Immigrants,Foreigners,China,1982,27100,China - United States
United States,Immigrants,Foreigners,Mexico,1983,59079,Mexico - United States
Germany,Immigrants,Both,Poland,1983,55525,Poland - Germany
United States,Immigrants,Foreigners,Philippines,1983,41546,Philippines - United States
Germany,Immigrants,Both,Italy,1983,38491,Italy - Germany
United States,Immigrants,Foreigners,Vietnam,1983,37560,Vietnam - United States
United States,Immigrants,Foreigners,"Korea, Rep.",1983,33339,"Korea, Rep. - United States"
Australia,Immigrants,Both,United Kingdom,1983,31660,United Kingdom - Australia
Germany,Immigrants,Both,Turkey,1983,28345,Turkey - Germany
United States,Immigrants,Foreigners,China,1983,25777,China - United States
United States,Immigrants,Foreigners,India,1983,25451,India - United States
Germany,Immigrants,Both,Poland,1984,82433,Poland - Germany
United States,Immigrants,Foreigners,Mexico,1984,57557,Mexico - United States
United States,Immigrants,Foreigners,Philippines,1984,42768,Philippines - United States
Germany,Immigrants,Both,Italy,1984,40238,Italy - Germany
United States,Immigrants,Foreigners,Vietnam,1984,37236,Vietnam - United States
Germany,Immigrants,Both,Turkey,1984,34647,Turkey - Germany
United States,Immigrants,Foreigners,"Korea, Rep.",1984,33042,"Korea, Rep. - United States"
Australia,Immigrants,Both,United Kingdom,1984,25150,United Kingdom - Australia
United States,Immigrants,Foreigners,India,1984,24964,India - United States
Germany,Immigrants,Both,United States,1984,24172,United States - Germany
Germany,Immigrants,Both,Poland,1985,89686,Poland - Germany
United States,Immigrants,Foreigners,Mexico,1985,61077,Mexico - United States
Germany,Immigrants,Both,Turkey,1985,48095,Turkey - Germany
